,Name,Manufacturer:,Cores:,Memory:,Processor:,Interconnect:,Linpack Performance (Rmax),Theoretical Peak (Rpeak),Nmax,HPCG [TFlop/s],Power Measurement Level:,Operating System:,Compiler:,Math Library:,MPI:,Power:,Nhalf
0,"Roadrunner - BladeCenter QS22/LS21 Cluster, PowerXCell 8i 3.2 Ghz / Opteron DC 1.8 GHz, Voltaire Infiniband",IBM,"129,600",0 GB,PowerXCell 8i 9C 3.2GHz,Infiniband,"1,105 TFlop/s","1,456.7 TFlop/s","2,329,599",False,False,Linux,False,False,False,"2,483.00 kW",False
1,Jaguar - Cray XT5 QC 2.3 GHz,Cray/HPE,"150,152",0 GB,Opteron Quad Core 4C 2.3GHz,XT4 Internal Interconnect,"1,059 TFlop/s","1,381.4 TFlop/s","4,712,799",False,False,CNL,False,False,False,"6,950.00 kW",False
2,JUGENE - Blue Gene/P Solution,IBM,"294,912",0 GB,PowerPC 450 4C 850MHz,Proprietary,825.5 TFlop/s,"1,002.7 TFlop/s",False,False,False,CNK/SLES 9,False,False,False,"2,268.00 kW",False
3,"Pleiades - SGI Altix ICE 8200EX, Xeon QC 3.0/2.66 GHz",HPE,"51,200",0 GB,Xeon E5450 4C 3GHz,Infiniband,487.005 TFlop/s,608.829 TFlop/s,"2,300,760",False,False,SLES10 + SGI ProPack 5,False,False,False,"2,090.00 kW",False
4,BlueGene/L - eServer Blue Gene Solution,IBM,"81,920",0 GB,PowerPC 440 2C 700MHz,Proprietary,183.923 TFlop/s,229.376 TFlop/s,False,False,False,CNK/SLES 9,False,False,False,False,False
5,Kraken XT5 - Cray XT5 QC 2.3 GHz,Cray/HPE,"66,000",0 GB,Opteron Quad Core 4C 2.3GHz,XT4 Internal Interconnect,463.3 TFlop/s,607.2 TFlop/s,False,False,False,CNL,False,False,False,False,False
6,Intrepid - Blue Gene/P Solution,IBM,"163,840",0 GB,PowerPC 450 4C 850MHz,Proprietary,458.611 TFlop/s,557.056 TFlop/s,False,False,False,CNK/SLES 9,False,False,False,"1,260.00 kW",False
7,"Ranger - SunBlade x6420, Opteron QC 2.3 Ghz, Infiniband",Sun,"62,976",0 GB,Opteron Quad Core 4C 2.3GHz,Infiniband,433.2 TFlop/s,579.379 TFlop/s,False,False,False,Linux,False,False,False,"2,000.00 kW",False
8,Dawn - Blue Gene/P Solution,IBM,"147,456",0 GB,PowerPC 450 4C 850MHz,Proprietary,415.7 TFlop/s,501.35 TFlop/s,"2,958,335",False,False,CNK/SLES 9,False,False,False,"1,134.00 kW",False
9,"JUROPA - Sun Constellation, NovaScale R422-E2, Intel Xeon X5570, 2.93 GHz, Sun M9/Mellanox  QDR Infiniband/Partec Parastation",Atos,"26,304",0 GB,Xeon X5570 4C 2.93GHz,Infiniband QDR Sun M9 / Mellanox / ParTec,274.8 TFlop/s,308.283 TFlop/s,False,False,False,SUSE Linux,False,False,False,"1,549.00 kW",False
10,Franklin - Cray XT4 QuadCore 2.3 GHz,Cray/HPE,"38,642",0 GB,Opteron Quad Core 4C 2.3GHz,XT4 Internal Interconnect,266.3 TFlop/s,355.506 TFlop/s,"1,612,399",False,False,CNL,False,False,False,"1,150.00 kW",False
11,Jaguar - Cray XT4 QuadCore 2.1 GHz,Cray/HPE,"30,976",0 GB,Opteron Quad Core 4C 2.1GHz,XT4 Internal Interconnect,205 TFlop/s,260.2 TFlop/s,"2,466,816",False,False,CNL,False,False,False,"1,580.00 kW",False
12,"Red Storm - Sandia/ Cray Red Storm, XT3/4, 2.4/2.2 GHz dual/quad core",Cray/HPE,"38,208",0 GB,Opteron Dual Core 2C 2.4GHz,XT3 Internal Interconnect,204.2 TFlop/s,284 TFlop/s,"2,500,000",False,False,UNICOS,False,False,False,"2,506.00 kW",False
13,Shaheen - Blue Gene/P Solution,IBM,"65,536",0 GB,PowerPC 450 4C 850MHz,Proprietary,190.9 TFlop/s,222.822 TFlop/s,False,False,False,CNK/SLES 9,False,False,False,504.00 kW,False
14,"Magic Cube - Dawning 5000A, QC Opteron 1.9 Ghz, Infiniband, Windows HPC 2008",Sugon,"30,720",0 GB,Opteron Quad Core 4C 1.9GHz,Infiniband DDR,180.6 TFlop/s,233.472 TFlop/s,False,False,False,Windows HPC 2008,False,False,False,False,False
15,"GPC - xSeries iDataPlex, Xeon E5540 4C 2.53GHz, Infiniband",IBM/Lenovo,"30,912",0 GB,Xeon E5540 4C 2.53GHz,Infiniband,261.631 TFlop/s,312.829 TFlop/s,"2,526,944",False,False,Linux,False,False,False,"1,030.00 kW",False
16,"Encanto - SGI Altix ICE 8200, Xeon quad core 3.0 GHz",HPE,"14,336",0 GB,Xeon X5365 4C 3GHz,Infiniband,133.2 TFlop/s,172.032 TFlop/s,"1,800,100",False,False,SLES10 + SGI ProPack 5,False,False,False,861.00 kW,False
17,"EKA - Cluster Platform 3000 BL460c, Xeon X5365 4C 3.000GHz, Infiniband DDR",HPE,"14,384",0 GB,Xeon X5365 4C 3GHz,Infiniband DDR,132.8 TFlop/s,172.608 TFlop/s,"1,850,000",False,False,Linux,False,False,False,786.00 kW,"250,000"
18,"Juno - Appro XtremeServer 1143H, Opteron QC 2.2Ghz, Infiniband",Cray/HPE,"18,224",0 GB,Opteron Quad Core 4C 2.2GHz,Infiniband,131.6 TFlop/s,162.2 TFlop/s,"1,854,663",False,False,Redhat Linux,False,False,False,"1,139.00 kW",False
19,"Jade - SGI Altix ICE 8200EX, Xeon quad core 3.0 GHz",HPE,"12,288",0 GB,Xeon E5450 4C 3GHz,Infiniband,128.4 TFlop/s,146.736 TFlop/s,"1,817,000",False,False,SLES10 + SGI ProPack 5,False,False,False,608.00 kW,False
20,Athena - Cray XT4 QuadCore 2.3 GHz,Cray/HPE,"17,956",0 GB,Opteron Quad Core 4C 2.3GHz,XT4 Internal Interconnect,125.128 TFlop/s,165.195 TFlop/s,"1,367,871",False,False,CNL,False,False,False,888.00 kW,False
21,Earth Simulator - SX-9/E/1280M160,NEC,"1,280",0 GB,NEC  3.2GHz,Fat Tree Network,122.4 TFlop/s,131.072 TFlop/s,"1,556,480",False,False,Super-UX,False,False,False,False,False
22,Monte Rosa - Cray XT5 QC 2.4 GHz,Cray/HPE,"14,740",0 GB,Opteron Quad Core 4C 2.4GHz,XT4 Internal Interconnect,117.6 TFlop/s,141.504 TFlop/s,False,False,False,CNL,False,False,False,False,False
23,Blue Gene/P Solution,IBM,"40,960",0 GB,PowerPC 450 4C 850MHz,Proprietary,119.31 TFlop/s,139.264 TFlop/s,False,False,False,CNK/SLES 9,False,False,False,315.00 kW,False
24,"Power 575, p6 4.7 GHz, Infiniband",IBM,"8,320",0 GB,POWER6 2C 4.7GHz,Infiniband,115.9 TFlop/s,156.416 TFlop/s,False,False,False,AIX,False,False,False,"1,329.00 kW",False
