,Name,Manufacturer:,Cores:,Memory:,Processor:,Interconnect:,Linpack Performance (Rmax),Theoretical Peak (Rpeak),Nmax,HPCG [TFlop/s],Power Measurement Level:,Operating System:,Compiler:,Math Library:,MPI:,Power:,Nhalf
0,BlueGene/L - eServer Blue Gene Solution,IBM,"81,920",0 GB,PowerPC 440 2C 700MHz,Proprietary,183.923 TFlop/s,229.376 TFlop/s,False,False,False,CNK/SLES 9,False,False,False,False,False
1,JUGENE - Blue Gene/P Solution,IBM,"65,536",0 GB,PowerPC 450 4C 850MHz,Proprietary,190.9 TFlop/s,222.822 TFlop/s,False,False,False,CNK/SLES 9,False,False,False,504.00 kW,False
2,"SGI Altix ICE 8200, Xeon quad core 3.0 GHz",HPE,"14,336",0 GB,Xeon X5365 4C 3GHz,Infiniband,133.2 TFlop/s,172.032 TFlop/s,"1,800,100",False,False,SLES10 + SGI ProPack 5,False,False,False,861.00 kW,False
3,"EKA - Cluster Platform 3000 BL460c, Xeon 53xx 3GHz, Infiniband",HPE,"14,240",0 GB,Xeon X5365 4C 3GHz,Infiniband DDR,117.9 TFlop/s,170.88 TFlop/s,False,False,False,Linux,False,False,False,False,False
4,"Cluster Platform 3000 BL460c, Xeon 53xx 2.66GHz, Infiniband",HPE,"13,728",0 GB,Xeon X5355 4C 2.67GHz,Infiniband DDR,102.8 TFlop/s,146.43 TFlop/s,"575,000",False,False,Linux,False,False,False,False,False
5,"Red Storm - Sandia/ Cray Red Storm, Opteron 2.4 GHz dual core",Cray/HPE,"26,569",0 GB,Opteron Dual Core 2C 2.4GHz,XT3 Internal Interconnect,102.2 TFlop/s,127.531 TFlop/s,"1,700,000",False,False,UNICOS,False,False,False,False,False
6,Jaguar - Cray XT4/XT3,Cray/HPE,"23,016",0 GB,Opteron Dual Core 2C 2.6GHz,XT3 Internal Interconnect,101.7 TFlop/s,119.35 TFlop/s,"2,220,160",False,False,UNICOS/SUSE Linux,False,False,False,False,False
7,BGW - eServer Blue Gene Solution,IBM,"40,960",0 GB,PowerPC 440 2C 700MHz,Proprietary,91.29 TFlop/s,114.688 TFlop/s,"983,039",False,False,CNK/SLES 9,False,False,False,448.00 kW,False
8,"Franklin - Cray XT4, 2.6 GHz",Cray/HPE,"19,320",0 GB,Opteron Dual Core 2C 2.6GHz,XT3 Internal Interconnect,85.368 TFlop/s,100.464 TFlop/s,False,False,False,UNICOS/Linux,False,False,False,"1,150.00 kW",False
9,New York Blue - eServer Blue Gene Solution,IBM,"36,864",0 GB,PowerPC 440 2C 700MHz,Proprietary,82.161 TFlop/s,103.219 TFlop/s,False,False,False,CNK/SLES 9,False,False,False,403.00 kW,False
10,ASC Purple - eServer pSeries p5 575 1.9 GHz,IBM,"12,208",0 GB,POWER5 2C 1.9GHz,Federation,75.76 TFlop/s,92.781 TFlop/s,"1,383,600",False,False,AIX,False,False,False,"1,992.00 kW",False
11,eServer Blue Gene Solution,IBM,"32,768",0 GB,PowerPC 440 2C 700MHz,Proprietary,73.032 TFlop/s,91.75 TFlop/s,"884,735",False,False,CNK/SLES 9,False,False,False,358.00 kW,False
12,"MareNostrum - BladeCenter JS21 Cluster, PPC 970, 2.3 GHz, Myrinet",IBM,"10,240",0 GB,PowerPC 970 2C 2.3GHz,Myrinet,63.83 TFlop/s,94.208 TFlop/s,False,False,False,Linux,False,False,False,False,False
13,"Abe - PowerEdge 1955, 2.33 GHz, Infiniband, Windows Server 2008/Red Hat Enterprise Linux 4",Dell EMC,"9,600",0 GB,Xeon E5345 4C 2.33GHz,Infiniband SDR,68.48 TFlop/s,89.5872 TFlop/s,"1,008,384",False,False,Linux,False,False,False,False,False
14,HLRB-II - Altix 4700 1.6 GHz,HPE,"9,728",0 GB,Itanium 2 Montecito 2C 1.6GHz,NUMAlink,56.52 TFlop/s,62.2592 TFlop/s,"1,583,232",False,False,SUSE Linux Enterprise Server 10,False,False,False,990.00 kW,False
15,"TSUBAME Grid Cluster - Sun Fire x4600 Cluster, Opteron 2.4/2.6 GHz and ClearSpeed Accelerator, Infiniband",NEC/Sun,"11,664",0 GB,Opteron Dual Core 2C 2.4GHz,Infiniband,56.43 TFlop/s,102.021 TFlop/s,"1,123,200",False,False,Linux,False,False,False,False,False
16,"HECToR - Cray XT4, 2.8 GHz",Cray/HPE,"11,328",0 GB,Opteron Dual Core 2C 2.8GHz,XT3 Internal Interconnect,54.648 TFlop/s,63.4368 TFlop/s,False,False,False,UNICOS/Linux,False,False,False,False,False
17,"Thunderbird - PowerEdge 1850, 3.6 GHz, Infiniband",Dell EMC,"9,024",0 GB,Xeon EM64T  3.6GHz,Infiniband,53 TFlop/s,64.9728 TFlop/s,False,False,False,Linux,False,False,False,False,False
18,"Tera-10 - NovaScale 5160, Itanium2 1.6 GHz, Quadrics",Atos,"9,968",0 GB,Itanium 2 Montecito 2C 1.6GHz,Quadrics,52.84 TFlop/s,63.7952 TFlop/s,False,False,False,Linux,False,False,False,False,False
19,"Columbia - SGI Altix 1.5 GHz, Voltaire Infiniband",HPE,"10,160",0 GB,Itanium 2 Montecito 2C 1.6GHz,Numalink/Infiniband,51.87 TFlop/s,60.96 TFlop/s,"1,290,240",False,False,Linux,False,False,False,False,False
20,Hawk - Altix 4700 1.6 GHz,HPE,"9,216",0 GB,Itanium 2 Montecito 2C 1.6GHz,NUMAlink,51.441 TFlop/s,58.982 TFlop/s,"1,260,000",False,False,SUSE Linux Enterprise Server 10,False,False,False,False,False
21,"Lonestar - PowerEdge 1955, 2.66 GHz, Infiniband",Dell EMC,"5,848",0 GB,Xeon 5150 2C 2.67GHz,Infiniband,46.73 TFlop/s,62.22 TFlop/s,"1,187,200",False,False,Linux,False,False,False,False,False
22,"Cluster Platform 3000 DL140 Cluster, Xeon 2.33GHz Infiniband",HPE,"6,400",0 GB,Xeon E5345 4C 2.33GHz,Infiniband,44.46 TFlop/s,59.648 TFlop/s,"1,203,200",False,False,Linux,False,False,False,False,False
23,Blue Gene/P Solution,IBM,"16,384",0 GB,PowerPC 450 4C 850MHz,Proprietary,47.725 TFlop/s,55.706 TFlop/s,"933,887",False,False,CNK/SLES 9,False,False,False,126.00 kW,False
24,"Jaws - PowerEdge 1955, 3.0 GHz, Infiniband",Dell EMC,"5,200",0 GB,Xeon 5160 2C 3GHz,Infiniband,42.39 TFlop/s,62.4 TFlop/s,False,False,False,RedHat Enterprise 4,False,False,False,False,False
25,"CEA-CCRT-Platine - Novascale 3045, Itanium2 1.6 GHz, Infiniband",Atos,"7,680",0 GB,Itanium 2 Montecito 2C 1.6GHz,Infiniband DDR,42.13 TFlop/s,49.152 TFlop/s,"1,430,000",False,False,Linux,False,False,False,False,False
26,Michael J. Muuss Cluster (MJM) - Evolocity II (LS Supersystem) Xeon 51xx 3.0 GHz IB,LNXI,"4,416",0 GB,Xeon 5160 2C 3GHz,Infiniband,40.61 TFlop/s,52.992 TFlop/s,"917,104",False,False,SuSE Linux Enterprise Server 9,False,False,False,False,False
27,JUBL - eServer Blue Gene Solution,IBM,"16,384",0 GB,PowerPC 440 2C 700MHz,Proprietary,37.33 TFlop/s,45.875 TFlop/s,"663,551",False,False,CNK/SLES 9,False,False,False,179.00 kW,False
28,Atlas - Appro Xtreme Server - Quad Opteron Dual Core 2.4GHz Infiniband,Cray/HPE,"9,216",0 GB,Opteron Dual Core 2C 2.4GHz,Infiniband DDR,36.62 TFlop/s,44.24 TFlop/s,"1,021,440",False,False,Linux,False,False,False,False,False
29,Earth-Simulator,NEC,"5,120",0 GB,NEC  1GHz,Multi-stage crossbar,35.86 TFlop/s,40.96 TFlop/s,"1,075,200",False,False,Super-UX,False,False,False,"3,200.00 kW","266,240"
30,"Sapphire - Cray XT3, 2.6 GHz dual Core",Cray/HPE,"8,192",0 GB,Opteron Dual Core 2C 2.6GHz,XT3 Internal Interconnect,35.2 TFlop/s,42.5984 TFlop/s,False,False,False,UNICOS/Linux,False,False,False,False,False
31,"Queen Bee - PowerEdge 1950, 2.33 GHz, Infiniband",Dell EMC,"5,440",0 GB,Xeon E5345 4C 2.33GHz,Infiniband DDR,34.78 TFlop/s,50.7661 TFlop/s,False,False,False,Linux,False,False,False,False,False
32,"Cluster Platform 3000 BL460c, Xeon 53xx 3GHz, Infiniband",HPE,"3,760",0 GB,Xeon X5365 4C 3GHz,Infiniband DDR,33.8851 TFlop/s,45.12 TFlop/s,False,False,False,Linux,False,False,False,418.00 kW,False
33,"SGI Altix ICE 8200, 2.66 GHz",HPE,"4,096",0 GB,Xeon X5355 4C 2.67GHz,Infiniband,32.521 TFlop/s,43.581 TFlop/s,"673,792",False,False,SLES10 + SGI ProPack 5,False,False,False,False,False
34,"Cray XT3, 2.6 GHz dual Core",Cray/HPE,"7,812",0 GB,Opteron Dual Core 2C 2.6GHz,XT3 Internal Interconnect,33.9294 TFlop/s,40.6224 TFlop/s,False,False,False,UNICOS/Linux,False,False,False,False,False
35,"Topsail - PowerEdge 1955, 2.33 GHz, Cisco/Topspin Infiniband",Dell EMC,"4,160",0 GB,Xeon E5345 4C 2.33GHz,Infiniband SDR,28.77 TFlop/s,38.8211 TFlop/s,False,False,False,Linux,False,False,False,False,False
36,Stella - eServer Blue Gene Solution,IBM,"12,288",0 GB,PowerPC 440 2C 700MHz,Proprietary,27.45 TFlop/s,34.4064 TFlop/s,"516,095",False,False,CNK/SLES 9,False,False,False,134.00 kW,False
37,Minos - Appro Xtreme Server - Quad Opteron Dual Core 2.4GHz Infiniband,Cray/HPE,"6,912",0 GB,Opteron Dual Core 2C 2.4GHz,Infiniband DDR,27.38 TFlop/s,33.178 TFlop/s,"766,976",False,False,Linux,False,False,False,False,False
38,"CITerra - PowerEdge 1950, 2.33 GHz, Myrinet",Dell EMC,"4,096",0 GB,Xeon E5345 4C 2.33GHz,Myrinet,22.59 TFlop/s,37.7 TFlop/s,"761,392",False,False,Linux,False,False,False,False,False
39,Blue Gene/P Solution,IBM,"8,192",0 GB,PowerPC 450 4C 850MHz,Proprietary,23.862 TFlop/s,27.85 TFlop/s,"651,263",False,False,CNK/SLES 9,False,False,False,63.00 kW,False
40,Genius - Blue Gene/P Solution,IBM,"8,192",0 GB,PowerPC 450 4C 850MHz,Proprietary,23.862 TFlop/s,27.85 TFlop/s,"651,263",False,False,CNK/SLES 9,False,False,False,63.00 kW,False
41,"Big Red - BladeCenter JS21 Cluster, PPC 970, 2.5 GHz, Myrinet",IBM,"3,072",0 GB,PowerPC 970 2C 2.5GHz,Myrinet,21.79 TFlop/s,30.72 TFlop/s,"758,000",False,False,Linux,False,False,False,False,False
42,"Firefly - PowerEdge SC1435 Dual core Opteron 2.8 GHz, Infiniband",Dell EMC,"4,604",0 GB,Opteron Dual Core 2C 2.8GHz,Infiniband,21.5 TFlop/s,25.7824 TFlop/s,False,False,False,Linux,False,False,False,False,False
43,"Cluster Platform 6000 rx1620, Itanium2 1.6 GHz, Quadrics",HPE,"4,096",0 GB,Itanium 2 Fanwood  1.6GHz,Quadrics,20.45 TFlop/s,26.214 TFlop/s,"555,025",False,False,Linux,False,False,False,False,False
44,eServer pSeries p5 575 1.9 GHz,IBM,"3,072",0 GB,POWER5+ 2C 1.9GHz,Federation,20.07 TFlop/s,23.3472 TFlop/s,"700,000",False,False,AIX,False,False,False,501.00 kW,False
45,eServer pSeries p5 575 1.9 GHz,IBM,"3,072",0 GB,POWER5 2C 1.9GHz,Federation,20.07 TFlop/s,23.347 TFlop/s,"700,000",False,False,AIX,False,False,False,501.00 kW,False
46,Thunder - Intel Itanium2 Tiger4  1.4GHz - Quadrics,California Digital Corporation,"4,096",0 GB,Itanium 2  1.4GHz,Quadrics,19.94 TFlop/s,22.938 TFlop/s,"975,000",False,False,Linux,False,False,False,False,"110,000"
47,"BladeCenter HS21 Cluster, Xeon dual core 3.0 GHz, Infiniband",IBM,"5,120",0 GB,Xeon 5160 2C 3GHz,Infiniband,19.91 TFlop/s,61.44 TFlop/s,False,False,False,Linux,False,False,False,488.00 kW,False
48,"xSeries x3550 Cluster Xeon, 3 GHz, Infiniband",IBM,"2,080",0 GB,Xeon 5160 2C 3GHz,Infiniband,19.91 TFlop/s,24.96 TFlop/s,False,False,False,Linux,False,False,False,193.00 kW,False
49,"SGI Altix ICE 8200, 3.0 GHz",HPE,"2,048",0 GB,Xeon X5365 4C 3GHz,Infiniband,19.36 TFlop/s,24.576 TFlop/s,False,False,False,SLES10 + SGI ProPack 5,False,False,False,False,False
50,"BladeCenter JS21 Cluster, PPC 970, 2.3 GHz, Myrinet",IBM,"3,040",0 GB,PowerPC 970 2C 2.3GHz,Myrinet,19.0395 TFlop/s,27.968 TFlop/s,False,False,False,Linux,False,False,False,False,False
51,Blue Protein - eServer Blue Gene Solution,IBM,"8,192",0 GB,PowerPC 440 2C 700MHz,Proprietary,18.665 TFlop/s,22.9376 TFlop/s,"442,367",False,False,CNK/SLES 9,False,False,False,89.00 kW,False
52,Frontier - eServer Blue Gene Solution,IBM,"8,192",0 GB,PowerPC 440 2C 700MHz,Proprietary,18.665 TFlop/s,22.9376 TFlop/s,"442,367",False,False,CNK/SLES 9,False,False,False,89.00 kW,False
53,eServer Blue Gene Solution,IBM,"8,192",0 GB,PowerPC 440 2C 700MHz,Proprietary,18.665 TFlop/s,22.9376 TFlop/s,"442,367",False,False,CNK/SLES 9,False,False,False,89.00 kW,False
54,KEK/BG Sakura - eServer Blue Gene Solution,IBM,"8,192",0 GB,PowerPC 440 2C 700MHz,Proprietary,18.665 TFlop/s,22.9376 TFlop/s,"442,367",False,False,CNK/SLES 9,False,False,False,89.00 kW,False
55,KEK/BG MOMO - eServer Blue Gene Solution,IBM,"8,192",0 GB,PowerPC 440 2C 700MHz,Proprietary,18.665 TFlop/s,22.9376 TFlop/s,"442,367",False,False,CNK/SLES 9,False,False,False,89.00 kW,False
56,eServer Blue Gene Solution,IBM,"8,192",0 GB,PowerPC 440 2C 700MHz,Proprietary,18.665 TFlop/s,22.9376 TFlop/s,"442,367",False,False,CNK/SLES 9,False,False,False,89.00 kW,False
57,eServer Blue Gene Solution,IBM,"8,192",0 GB,PowerPC 440 2C 700MHz,Proprietary,18.665 TFlop/s,22.9376 TFlop/s,"442,367",False,False,CNK/SLES 9,False,False,False,89.00 kW,False
58,"BladeCenter HS21 Cluster, Xeon dual core, 2.33 GHz, GigEthernet",IBM,"4,096",0 GB,Xeon 5140 2C 2.33GHz,Gigabit Ethernet,18.6 TFlop/s,38.2239 TFlop/s,False,False,False,Linux,False,False,False,329.00 kW,False
59,"Darwin - PowerEdge 1950, 3.0 GHz, Infinipath",ClusterVision/Dell,"2,340",0 GB,Xeon 5160 2C 3GHz,InfiniPath,18.27 TFlop/s,28.08 TFlop/s,"713,000",False,False,RedHat Enterprise 4,False,False,False,False,False
60,Rhea - Appro Xtreme Server - Quad Opteron Dual Core 2.4GHz Infiniband,Cray/HPE,"4,608",0 GB,Opteron Dual Core 2C 2.4GHz,Infiniband DDR,18.24 TFlop/s,22.118 TFlop/s,"638,400",False,False,Linux,False,False,False,False,False
61,"Calhoun - SGI Altix XE 1300 Cluster Solutions, 2.66GHZ, Infiniband",HPE,"2,048",0 GB,Xeon X5355 4C 2.67GHz,Infiniband DDR,17.31 TFlop/s,21.791 TFlop/s,"638,448",False,False,SUSE Linux Enterprise Server 10,False,False,False,False,False
62,"HPC - Opteron, Xeon Cluster, Myrinet",Sun,"6,024",0 GB,Opteron Dual Core 2C 2GHz,Myrinet,17.11 TFlop/s,23.68 TFlop/s,False,False,False,Linux,False,False,False,False,False
63,"Ice Storm - SGI Altix ICE 8200, 2.66 GHz",HPE,"2,048",0 GB,Xeon X5355 4C 2.67GHz,Infiniband,17.78 TFlop/s,21.791 TFlop/s,"703,872",False,False,SLES10 + SGI ProPack 5,False,False,False,False,False
64,"BigBen - Cray XT3, 2.6 GHz dual Core",Cray/HPE,"4,136",0 GB,Opteron Dual Core 2C 2.6GHz,XT3 Internal Interconnect,17 TFlop/s,21.5072 TFlop/s,False,False,False,UNICOS/Linux,False,False,False,False,False
65,"T3 - PowerEdge 1955, 2.66 GHz, Infiniband",Dell EMC,"2,048",0 GB,Xeon 5150 2C 2.67GHz,Infiniband,16.68 TFlop/s,21.3 TFlop/s,"650,000",False,False,Linux,False,False,False,False,False
66,eServer pSeries p5 575 1.9 GHz,IBM,"2,480",0 GB,POWER5+ 2C 1.9GHz,Federation,16.202 TFlop/s,18.848 TFlop/s,False,False,False,AIX,False,False,False,404.00 kW,False
67,eServer pSeries p5 575 1.9 GHz,IBM,"2,480",0 GB,POWER5+ 2C 1.9GHz,Federation,16.202 TFlop/s,18.848 TFlop/s,False,False,False,AIX,False,False,False,404.00 kW,False
68,"MACH5 - Apple XServe, 2.0 GHz, Myrinet",Self-made,"3,072",0 GB,PowerPC 970 2C 2GHz,Myrinet,16.18 TFlop/s,24.576 TFlop/s,"750,000",False,False,MacOS X,False,False,False,False,"160,000"
69,SR11000-J2,Hitachi,128,0 GB,POWER5+ 2C 2.3GHz,Federation,15.811 TFlop/s,18.8416 TFlop/s,"645,120",False,False,AIX,False,False,False,False,"116,640"
70,"BCX - eServer 326 Cluster, Opteron Dual Core 2.6 GHz, Infiniband",IBM,"10,240",0 GB,Opteron Dual Core 2C 2.6GHz,Infiniband,15.76 TFlop/s,53.248 TFlop/s,False,False,False,Linux,False,False,False,False,False
71,Cray X1E (4GB),Cray/HPE,"1,020",0 GB,Cray X1E 2C 1.13GHz,Crossbar,15.706 TFlop/s,18.442 TFlop/s,False,False,False,UNICOS,False,False,False,False,False
72,"Bio-X2 - PowerEdge 1950, 2.33 GHz, Infiniband",Dell EMC,"2,208",0 GB,Xeon E5345 4C 2.33GHz,Infiniband DDR,15.57 TFlop/s,20.578 TFlop/s,"730,000",False,False,Linux,False,False,False,False,False
73,eServer pSeries p5 575 1.9 GHz,IBM,"2,368",0 GB,POWER5+ 2C 1.9GHz,Federation,15.47 TFlop/s,17.9968 TFlop/s,False,False,False,AIX,False,False,False,386.00 kW,False
74,eServer pSeries p5 575 1.9 GHz,IBM,"2,368",0 GB,POWER5+ 2C 1.9GHz,Federation,15.47 TFlop/s,17.9968 TFlop/s,False,False,False,AIX,False,False,False,386.00 kW,False
75,"xSeries x3455 Cluster Opteron, 2.6 GHz, Infiniband",IBM,"4,144",0 GB,Opteron Dual Core 2C 2.6GHz,Infiniband,17.1 TFlop/s,21.55 TFlop/s,"670,000",False,False,Linux,False,False,False,404.00 kW,False
76,Humvee - Evolocity II (LS Supersystem),LNXI,"3,368",0 GB,Xeon 50xx (Dempsy) 2C 3.2GHz,Infiniband,15.2 TFlop/s,19.66 TFlop/s,False,False,False,SuSE Linux Enterprise Server 9,False,False,False,False,False
77,"Cluster Platform 3000 BL460c, Xeon 53xx 2.33GHz, GigEthernet",HPE,"3,080",0 GB,Xeon E5345 4C 2.33GHz,Gigabit Ethernet,15.4103 TFlop/s,28.7056 TFlop/s,False,False,False,Linux,False,False,False,False,False
78,"PRIMERGY RX200S3, Xeon Dual Core 3.0 GHz, Infiniband",Fujitsu,"1,536",0 GB,Xeon 5160 2C 3GHz,Infiniband,15.09 TFlop/s,18.432 TFlop/s,"500,000",False,False,Redhat Linux,False,False,False,False,"95,000"
79,Cray X1E (2GB),Cray/HPE,"1,014",0 GB,Cray X1E 2C 1.13GHz,Crossbar,14.955 TFlop/s,18.333 TFlop/s,False,False,False,UNICOS,False,False,False,False,False
80,Altix 4700 1.6 GHz,HPE,"2,560",0 GB,Itanium 2 Montecito 2C 1.6GHz,NUMAlink,14.593 TFlop/s,16.384 TFlop/s,"483,800",False,False,SUSE Linux Enterprise Server 10,False,False,False,False,False
81,"SGI Altix ICE 8200, 3.0 GHz",HPE,"1,536",0 GB,Xeon X5365 4C 3GHz,Infiniband,14.52 TFlop/s,18.432 TFlop/s,False,False,False,SLES10 + SGI ProPack 5,False,False,False,False,False
82,"Stallo - Cluster Platform 3000 BL460c, Xeon 53xx 2.66GHz, GigEthernet",HPE,"5,632",0 GB,Xeon X5355 4C 2.67GHz,Gigabit Ethernet,31.864 TFlop/s,59.9245 TFlop/s,False,False,False,Linux,False,False,False,False,False
83,"Cluster Platform 3000 BL460c, Xeon 53xx 2.66GHz, GigEthernet",HPE,"2,472",0 GB,Xeon X5355 4C 2.67GHz,Gigabit Ethernet,14.4713 TFlop/s,26.3021 TFlop/s,False,False,False,Linux,False,False,False,False,False
84,"Cray XT3, 2.6 GHz dual Core",Cray/HPE,"3,328",0 GB,Opteron Dual Core 2C 2.6GHz,XT3 Internal Interconnect,14.22 TFlop/s,17.3056 TFlop/s,False,False,False,UNICOS/Linux,False,False,False,False,False
85,"Cluster Platform 3000 BL460c, Xeon 51xx 2.66GHz, GigEthernet",HPE,"2,400",0 GB,Xeon 5150 2C 2.67GHz,Gigabit Ethernet,14.1707 TFlop/s,25.536 TFlop/s,False,False,False,Linux,False,False,False,False,False
86,"Roadrunner 1 - xSeries x3755 Cluster Opteron dual core 2.2 GHz, Infiniband",IBM,"4,608",0 GB,Opteron Dual Core 2C 2.2GHz,Infiniband,14.07 TFlop/s,20.2752 TFlop/s,False,False,False,Linux,False,False,False,518.00 kW,False
87,"Roadrunner 2 - xSeries x3755 Cluster Opteron dual core 2.2 GHz, Infiniband",IBM,"4,608",0 GB,Opteron Dual Core 2C 2.2GHz,Infiniband,14.07 TFlop/s,20.2752 TFlop/s,False,False,False,Linux,False,False,False,518.00 kW,False
88,"Roadrunner 3 - xSeries x3755 Cluster Opteron dual core 2.2 GHz, Infiniband",IBM,"4,608",0 GB,Opteron Dual Core 2C 2.2GHz,Infiniband,14.07 TFlop/s,20.2752 TFlop/s,False,False,False,Linux,False,False,False,518.00 kW,False
89,"BladeCenter JS20 Cluster, PPC 970, 2.2 GHz, Myrinet",IBM,"2,408",0 GB,PowerPC 970 2C 2.2GHz,Myrinet,14 TFlop/s,21.1904 TFlop/s,False,False,False,Linux,False,False,False,False,False
90,"Cluster Platform 3000 BL460c, Xeon 53xx 2.33GHz, GigEthernet",HPE,"2,768",0 GB,Xeon E5345 4C 2.33GHz,Gigabit Ethernet,13.9041 TFlop/s,25.7978 TFlop/s,False,False,False,Linux,False,False,False,False,False
