,Name,Manufacturer:,Cores:,Memory:,Processor:,Interconnect:,Linpack Performance (Rmax),Theoretical Peak (Rpeak),Nmax,HPCG [TFlop/s],Power Measurement Level:,Operating System:,Compiler:,Math Library:,MPI:,Power:,Nhalf
0,ASCI Red,Intel,"7,264",0 GB,Pentium Pro  200MHz,Proprietary,1.068 TFlop/s,1.453 TFlop/s,"215,000",False,False,Paragon OS,False,False,False,False,"53,400"
1,CP-PACS/2048,Hitachi/Tsukuba,"2,048",0 GB,HARP-1E  150MHz,Hyper crossbar,0.3682 TFlop/s,0.6144 TFlop/s,"103,680",False,False,HI-UX/MPP,False,False,False,False,"30,720"
2,Numerical Wind Tunnel,Fujitsu,167,0 GB,Fujitsu  105MHz,Full distributed crossbar,0.229 TFlop/s,0.28126 TFlop/s,"66,132",False,False,UXP/V,False,False,False,498.00 kW,"18,018"
3,SR2201/1024,Hitachi,"1,024",0 GB,HARP-1E  150MHz,Hyper crossbar,0.2324 TFlop/s,0.3072 TFlop/s,"155,520",False,False,HI-UX/MPP,False,False,False,False,"34,560"
4,T3E,Cray/HPE,512,0 GB,EV5  300MHz,3-D Torus,0.222 TFlop/s,0.3072 TFlop/s,"84,480",False,False,UNICOS,False,False,False,False,"12,480"
5,T3E,Cray/HPE,512,0 GB,EV5  300MHz,3-D Torus,0.222 TFlop/s,0.3072 TFlop/s,"84,480",False,False,UNICOS,False,False,False,False,"12,480"
6,T3E,Cray/HPE,512,0 GB,EV5  300MHz,3-D Torus,0.222 TFlop/s,0.3072 TFlop/s,"84,480",False,False,UNICOS,False,False,False,False,"12,480"
7,T3E,Cray/HPE,512,0 GB,EV5  300MHz,3-D Torus,0.222 TFlop/s,0.3072 TFlop/s,"84,480",False,False,UNICOS,False,False,False,False,"12,480"
8,T3E,Cray/HPE,512,0 GB,EV5  300MHz,3-D Torus,0.222 TFlop/s,0.3072 TFlop/s,"84,480",False,False,UNICOS,False,False,False,False,"12,480"
9,T3E,Cray/HPE,512,0 GB,EV5  300MHz,3-D Torus,0.222 TFlop/s,0.3072 TFlop/s,"84,480",False,False,UNICOS,False,False,False,False,"12,480"
10,SP P2SC 120 MHz,IBM,472,0 GB,POWER2 SC  120MHz,SP Switch,0.1518 TFlop/s,0.22656 TFlop/s,"61,000",False,False,AIX,False,False,False,False,"22,600"
11,XP/S140,Intel,"3,680",0 GB,Intel 80860  50MHz,2-D mesh (torus),0.1434 TFlop/s,0.184 TFlop/s,"55,700",False,False,OSF/1,False,False,False,False,"20,500"
12,T3E900,Cray/HPE,256,0 GB,EV5  450MHz,3-D Torus,0.161 TFlop/s,0.2304 TFlop/s,"84,480",False,False,UNICOS,False,False,False,False,"10,080"
13,T3E900,Cray/HPE,256,0 GB,EV5  450MHz,3-D Torus,0.161 TFlop/s,0.2304 TFlop/s,"84,480",False,False,UNICOS,False,False,False,False,"10,080"
14,XP/S-MP 150,Intel,"3,072",0 GB,Intel 80860  50MHz,2-D mesh (torus),0.1271 TFlop/s,0.154 TFlop/s,"86,000",False,False,OSF/1,False,False,False,False,"17,800"
15,T3E750,Cray/HPE,256,0 GB,EV5  374MHz,3-D Torus,0.134 TFlop/s,0.192 TFlop/s,False,False,False,UNICOS,False,False,False,False,False
16,VPP700/56,Fujitsu,56,0 GB,Fujitsu  137MHz,Full distributed crossbar,0.11 TFlop/s,0.1232 TFlop/s,"109,200",False,False,UXP/V,False,False,False,False,"10,752"
17,VPP500/80,Fujitsu,80,0 GB,Fujitsu  100MHz,Full distributed crossbar,0.109 TFlop/s,0.128 TFlop/s,"46,400",False,False,UXP/V,False,False,False,False,"11,030"
18,XP/S-MP 125,Intel,"2,502",0 GB,Intel 80860  50MHz,2-D mesh (torus),0.1035 TFlop/s,0.1251 TFlop/s,False,False,False,OSF/1,False,False,False,False,False
19,T3D MC1024-8,Cray/HPE,"1,024",0 GB,EV4  149MHz,3-D Torus,0.1005 TFlop/s,0.1536 TFlop/s,"81,920",False,False,UNICOS,False,False,False,False,"10,224"
20,VPP700/46,Fujitsu,46,0 GB,Fujitsu  137MHz,Full distributed crossbar,0.0943 TFlop/s,0.1012 TFlop/s,"100,280",False,False,UXP/V,False,False,False,False,"8,280"
21,T3E,Cray/HPE,256,0 GB,EV5  300MHz,3-D Torus,0.112 TFlop/s,0.1536 TFlop/s,"59,904",False,False,UNICOS,False,False,False,False,"8,832"
22,T3E,Cray/HPE,256,0 GB,EV5  300MHz,3-D Torus,0.112 TFlop/s,0.1536 TFlop/s,"59,904",False,False,UNICOS,False,False,False,False,"8,832"
23,T3E,Cray/HPE,256,0 GB,EV5  300MHz,3-D Torus,0.112 TFlop/s,0.1536 TFlop/s,"59,904",False,False,UNICOS,False,False,False,False,"8,832"
24,T3E,Cray/HPE,256,0 GB,EV5  300MHz,3-D Torus,0.112 TFlop/s,0.1536 TFlop/s,"59,904",False,False,UNICOS,False,False,False,False,"8,832"
25,SP2/512,IBM,512,0 GB,POWER2  66MHz,,0.0884 TFlop/s,0.13619 TFlop/s,"73,500",False,False,AIX,False,False,False,False,"20,150"
26,T3E750,Cray/HPE,192,0 GB,EV5  374MHz,3-D Torus,0.0966 TFlop/s,0.144 TFlop/s,False,False,False,UNICOS,False,False,False,False,False
27,SP P2SC 135 MHz,IBM,256,0 GB,POWER2 SC  135MHz,SP Switch,0.09419 TFlop/s,0.13824 TFlop/s,False,False,False,AIX,False,False,False,False,False
28,SP P2SC 135 MHz,IBM,256,0 GB,POWER2 SC  135MHz,SP Switch,0.09419 TFlop/s,0.13824 TFlop/s,False,False,False,AIX,False,False,False,False,False
29,SP P2SC 120 MHz,IBM,256,0 GB,POWER2 SC  120MHz,SP Switch,0.08337 TFlop/s,0.12288 TFlop/s,False,False,False,AIX,False,False,False,False,False
30,T3E,Cray/HPE,200,0 GB,EV5  300MHz,3-D Torus,0.0867 TFlop/s,0.12 TFlop/s,False,False,False,UNICOS,False,False,False,False,False
31,VPP700/34,Fujitsu/SNI,34,0 GB,Fujitsu  137MHz,Full distributed crossbar,0.0711 TFlop/s,0.0748 TFlop/s,False,False,False,UXP/V,False,False,False,False,False
32,T3E900,Cray/HPE,128,0 GB,EV5  450MHz,3-D Torus,0.07959 TFlop/s,0.1152 TFlop/s,"42,240",False,False,UNICOS,False,False,False,False,"6,432"
33,T3E900,Cray/HPE,128,0 GB,EV5  450MHz,3-D Torus,0.07959 TFlop/s,0.1152 TFlop/s,"42,240",False,False,UNICOS,False,False,False,False,"6,432"
34,SP2/384,IBM,384,0 GB,POWER2  66MHz,,0.0663 TFlop/s,0.10214 TFlop/s,False,False,False,AIX,False,False,False,False,False
35,T3E750,Cray/HPE,136,0 GB,EV5  374MHz,3-D Torus,0.0686 TFlop/s,0.102 TFlop/s,False,False,False,UNICOS,False,False,False,False,False
36,T3E,Cray/HPE,160,0 GB,EV5  300MHz,3-D Torus,0.0693 TFlop/s,0.096 TFlop/s,False,False,False,UNICOS,False,False,False,False,False
37,SX-4/32,NEC,32,0 GB,NEC  250MHz,Multi-stage crossbar,0.0617 TFlop/s,0.064 TFlop/s,"20,480",False,False,EWS-UX/V,False,False,False,False,"1,688"
38,SX-4/32,NEC,32,0 GB,NEC  250MHz,Multi-stage crossbar,0.0617 TFlop/s,0.064 TFlop/s,"20,480",False,False,EWS-UX/V,False,False,False,False,"1,688"
39,SX-4/32,NEC,32,0 GB,NEC  250MHz,Multi-stage crossbar,0.0617 TFlop/s,0.064 TFlop/s,"20,480",False,False,EWS-UX/V,False,False,False,False,"1,688"
40,SX-4/32,NEC,32,0 GB,NEC  250MHz,Multi-stage crossbar,0.0617 TFlop/s,0.064 TFlop/s,"20,480",False,False,EWS-UX/V,False,False,False,False,"1,688"
41,SX-4/32,NEC,32,0 GB,NEC  250MHz,Multi-stage crossbar,0.0617 TFlop/s,0.064 TFlop/s,"20,480",False,False,EWS-UX/V,False,False,False,False,"1,688"
