,Name,Manufacturer:,Cores:,Memory:,Processor:,Interconnect:,Linpack Performance (Rmax),Theoretical Peak (Rpeak),Nmax,HPCG [TFlop/s],Power Measurement Level:,Operating System:,Compiler:,Math Library:,MPI:,Power:,Nhalf
0,"Roadrunner - BladeCenter QS22/LS21 Cluster, PowerXCell 8i 3.2 Ghz / Opteron DC 1.8 GHz, Voltaire Infiniband",IBM,"122,400",0 GB,PowerXCell 8i 9C 3.2GHz,Infiniband,"1,042 TFlop/s","1,375.78 TFlop/s","2,249,343",False,False,Linux,False,False,False,"2,345.00 kW",False
1,BlueGene/L - eServer Blue Gene Solution,IBM,"81,920",0 GB,PowerPC 440 2C 700MHz,Proprietary,183.923 TFlop/s,229.376 TFlop/s,False,False,False,CNK/SLES 9,False,False,False,False,False
2,Kraken XT5 - Cray XT5 QC 2.3 GHz,Cray/HPE,"66,000",0 GB,Opteron Quad Core 4C 2.3GHz,XT4 Internal Interconnect,463.3 TFlop/s,607.2 TFlop/s,False,False,False,CNL,False,False,False,False,False
3,Intrepid - Blue Gene/P Solution,IBM,"163,840",0 GB,PowerPC 450 4C 850MHz,Proprietary,458.611 TFlop/s,557.056 TFlop/s,False,False,False,CNK/SLES 9,False,False,False,"1,260.00 kW",False
4,"Ranger - SunBlade x6420, Opteron Quad 2Ghz, Infiniband",Sun,"62,976",0 GB,Opteron Quad Core 4C 2GHz,Infiniband,326 TFlop/s,503.808 TFlop/s,False,False,False,Linux,False,False,False,"2,000.00 kW",False
5,Jaguar - Cray XT4 QuadCore 2.1 GHz,Cray/HPE,"30,976",0 GB,Opteron Quad Core 4C 2.1GHz,XT4 Internal Interconnect,205 TFlop/s,260.2 TFlop/s,"2,466,816",False,False,CNL,False,False,False,"1,580.00 kW",False
6,JUGENE - Blue Gene/P Solution,IBM,"65,536",0 GB,PowerPC 450 4C 850MHz,Proprietary,190.9 TFlop/s,222.822 TFlop/s,False,False,False,CNK/SLES 9,False,False,False,504.00 kW,False
7,"Encanto - SGI Altix ICE 8200, Xeon quad core 3.0 GHz",HPE,"14,336",0 GB,Xeon X5365 4C 3GHz,Infiniband,133.2 TFlop/s,172.032 TFlop/s,"1,800,100",False,False,SLES10 + SGI ProPack 5,False,False,False,861.00 kW,False
8,"EKA - Cluster Platform 3000 BL460c, Xeon X5365 4C 3.000GHz, Infiniband DDR",HPE,"14,384",0 GB,Xeon X5365 4C 3GHz,Infiniband DDR,132.8 TFlop/s,172.608 TFlop/s,"1,850,000",False,False,Linux,False,False,False,786.00 kW,"250,000"
9,Blue Gene/P Solution,IBM,"40,960",0 GB,PowerPC 450 4C 850MHz,Proprietary,119.31 TFlop/s,139.264 TFlop/s,False,False,False,CNK/SLES 9,False,False,False,315.00 kW,False
10,"SGI Altix ICE 8200EX, Xeon quad core 3.0 GHz",HPE,"10,240",0 GB,Xeon E5450 4C 3GHz,Infiniband,106.1 TFlop/s,122.88 TFlop/s,"1,535,480",False,False,SLES10 + SGI ProPack 5,False,False,False,442.00 kW,False
11,"Cluster Platform 3000 BL460c, Xeon 53xx 2.66GHz, Infiniband",HPE,"13,728",0 GB,Xeon X5355 4C 2.67GHz,Infiniband DDR,102.8 TFlop/s,146.43 TFlop/s,"575,000",False,False,Linux,False,False,False,False,False
12,"Red Storm - Sandia/ Cray Red Storm, Opteron 2.4 GHz dual core",Cray/HPE,"26,569",0 GB,Opteron Dual Core 2C 2.4GHz,XT3 Internal Interconnect,102.2 TFlop/s,127.531 TFlop/s,"1,700,000",False,False,UNICOS,False,False,False,False,False
13,Frontier2 BG/L - Blue Gene/P Solution,IBM,"32,768",0 GB,PowerPC 450 4C 850MHz,Proprietary,95.45 TFlop/s,111.411 TFlop/s,False,False,False,CNK/SLES 9,False,False,False,252.00 kW,False
14,BGW - eServer Blue Gene Solution,IBM,"40,960",0 GB,PowerPC 440 2C 700MHz,Proprietary,91.29 TFlop/s,114.688 TFlop/s,"983,039",False,False,CNK/SLES 9,False,False,False,448.00 kW,False
15,"Franklin - Cray XT4, 2.6 GHz",Cray/HPE,"19,320",0 GB,Opteron Dual Core 2C 2.6GHz,XT3 Internal Interconnect,85.368 TFlop/s,100.464 TFlop/s,False,False,False,UNICOS/Linux,False,False,False,"1,150.00 kW",False
16,"T2K Open Supercomputer (Todai Combined Cluster) - Hitachi Cluster Opteron QC 2.3 GHz, Myrinet 10G",Hitachi,"12,288",0 GB,Opteron Quad Core 4C 2.3GHz,Myrinet 10G,82.984 TFlop/s,113.05 TFlop/s,"1,433,600",False,False,Linux,False,False,False,638.00 kW,False
17,New York Blue - eServer Blue Gene Solution,IBM,"36,864",0 GB,PowerPC 440 2C 700MHz,Proprietary,82.161 TFlop/s,103.219 TFlop/s,False,False,False,CNK/SLES 9,False,False,False,403.00 kW,False
18,"Power 575, p6 4.7 GHz, Infiniband",IBM,"8,320",0 GB,POWER6 2C 4.7GHz,Infiniband,115.9 TFlop/s,156.416 TFlop/s,False,False,False,AIX,False,False,False,"1,329.00 kW",False
19,"VIP - Power 575, p6 4.7 GHz, Infiniband",IBM,"6,720",0 GB,POWER6 2C 4.7GHz,Infiniband,98.24 TFlop/s,126.336 TFlop/s,False,False,False,AIX,False,False,False,"1,073.00 kW",False
20,"T2K Open Supercomputer - Appro Xtreme-X3 Server - Quad Opteron Quad Core 2.3 GHz, Infiniband",Cray/HPE,"10,000",0 GB,Opteron Quad Core 4C 2.3GHz,Infinband DDR 4x,76.46 TFlop/s,92 TFlop/s,"1,508,000",False,False,Redhat Linux,False,False,False,671.00 kW,False
21,ASC Purple - eServer pSeries p5 575 1.9 GHz,IBM,"12,208",0 GB,POWER5 2C 1.9GHz,Federation,75.76 TFlop/s,92.781 TFlop/s,"1,383,600",False,False,AIX,False,False,False,"1,992.00 kW",False
22,eServer Blue Gene Solution,IBM,"32,768",0 GB,PowerPC 440 2C 700MHz,Proprietary,73.032 TFlop/s,91.75 TFlop/s,"884,735",False,False,CNK/SLES 9,False,False,False,358.00 kW,False
23,"Abe - PowerEdge 1955, 2.33 GHz, Infiniband, Windows Server 2008/Red Hat Enterprise Linux 4",Dell EMC,"9,600",0 GB,Xeon E5345 4C 2.33GHz,Infiniband SDR,68.48 TFlop/s,89.5872 TFlop/s,"1,008,384",False,False,Linux,False,False,False,False,False
24,"TSUBAME Grid Cluster with CompView TSUBASA - Sun Fire x4600/x6250 Cluster, Opteron 2.4/2.6 GHz and ClearSpeed Accelerator, Xeon E5440  2.833 GHz, Infiniband",NEC/Sun,"12,344",0 GB,Opteron Dual Core 2C 2.4GHz,Infiniband,67.7 TFlop/s,109.728 TFlop/s,"1,181,952",False,False,Linux,False,False,False,False,False
25,"Columbia - SGI Altix 1.5/1.6/1.66 GHz, Voltaire Infiniband",HPE,"13,824",0 GB,Itanium 2 Montecito 2C 1.6GHz,Numalink/Infiniband,66.567 TFlop/s,82.944 TFlop/s,"1,478,736",False,False,Linux,False,False,False,False,False
26,"MareNostrum - BladeCenter JS21 Cluster, PPC 970, 2.3 GHz, Myrinet",IBM,"10,240",0 GB,PowerPC 970 2C 2.3GHz,Myrinet,63.83 TFlop/s,94.208 TFlop/s,False,False,False,Linux,False,False,False,False,False
27,HLRB-II - Altix 4700 1.6 GHz,HPE,"9,728",0 GB,Itanium 2 Montecito 2C 1.6GHz,NUMAlink,56.52 TFlop/s,62.2592 TFlop/s,"1,583,232",False,False,SUSE Linux Enterprise Server 10,False,False,False,990.00 kW,False
28,Jade - Cray XT4 QuadCore 2.1 GHz,Cray/HPE,"8,464",0 GB,Opteron Quad Core 4C 2.1GHz,XT4 Internal Interconnect,56.25 TFlop/s,71.097 TFlop/s,False,False,False,CNL,False,False,False,418.00 kW,False
29,"HECToR - Cray XT4, 2.8 GHz",Cray/HPE,"11,328",0 GB,Opteron Dual Core 2C 2.8GHz,XT3 Internal Interconnect,54.648 TFlop/s,63.4368 TFlop/s,False,False,False,UNICOS/Linux,False,False,False,False,False
30,"bluefire - Power 575, p6 4.7 GHz, Infiniband",IBM,"4,064",0 GB,POWER6 2C 4.7GHz,Infiniband,59.6841 TFlop/s,76.4032 TFlop/s,False,False,False,AIX,False,False,False,649.00 kW,False
31,"Thunderbird - PowerEdge 1850, 3.6 GHz, Infiniband",Dell EMC,"9,024",0 GB,Xeon EM64T  3.6GHz,Infiniband,53 TFlop/s,64.9728 TFlop/s,False,False,False,Linux,False,False,False,False,False
32,"Tera-10 - NovaScale 5160, Itanium2 1.6 GHz, Quadrics",Atos,"9,968",0 GB,Itanium 2 Montecito 2C 1.6GHz,Quadrics,52.84 TFlop/s,63.7952 TFlop/s,False,False,False,Linux,False,False,False,False,False
33,Hawk - Altix 4700 1.6 GHz,HPE,"9,216",0 GB,Itanium 2 Montecito 2C 1.6GHz,NUMAlink,51.441 TFlop/s,58.982 TFlop/s,"1,260,000",False,False,SUSE Linux Enterprise Server 10,False,False,False,False,False
