,Name,Manufacturer:,Cores:,Memory:,Processor:,Interconnect:,Linpack Performance (Rmax),Theoretical Peak (Rpeak),Nmax,HPCG [TFlop/s],Power Measurement Level:,Operating System:,Compiler:,Math Library:,MPI:,Power:,Nhalf
0,BlueGene/L - eServer Blue Gene Solution,IBM,"131,072",0 GB,PowerPC 440 2C 700MHz,Proprietary,280.6 TFlop/s,367 TFlop/s,"1,769,471",False,False,CNK/SLES 9,False,False,False,"1,433.00 kW",False
1,"Red Storm - Sandia/ Cray Red Storm, Opteron 2.4 GHz dual core",Cray/HPE,"26,544",0 GB,Opteron Dual Core 2C 2.4GHz,XT3 Internal Interconnect,101.4 TFlop/s,127.411 TFlop/s,"1,700,000",False,False,UNICOS,False,False,False,False,False
2,BGW - eServer Blue Gene Solution,IBM,"40,960",0 GB,PowerPC 440 2C 700MHz,Proprietary,91.29 TFlop/s,114.688 TFlop/s,"983,039",False,False,CNK/SLES 9,False,False,False,448.00 kW,False
3,ASC Purple - eServer pSeries p5 575 1.9 GHz,IBM,"12,208",0 GB,POWER5 2C 1.9GHz,Federation,75.76 TFlop/s,92.781 TFlop/s,"1,383,600",False,False,AIX,False,False,False,"1,992.00 kW",False
4,"MareNostrum - BladeCenter JS21 Cluster, PPC 970, 2.3 GHz, Myrinet",IBM,"10,240",0 GB,PowerPC 970 2C 2.3GHz,Myrinet,63.83 TFlop/s,94.208 TFlop/s,False,False,False,Linux,False,False,False,False,False
5,"Thunderbird - PowerEdge 1850, 3.6 GHz, Infiniband",Dell EMC,"9,024",0 GB,Xeon EM64T  3.6GHz,Infiniband,53 TFlop/s,64.9728 TFlop/s,False,False,False,Linux,False,False,False,False,False
6,"Tera-10 - NovaScale 5160, Itanium2 1.6 GHz, Quadrics",Atos,"9,968",0 GB,Itanium 2 Montecito 2C 1.6GHz,Quadrics,52.84 TFlop/s,63.7952 TFlop/s,False,False,False,Linux,False,False,False,False,False
7,"Columbia - SGI Altix 1.5 GHz, Voltaire Infiniband",HPE,"10,160",0 GB,Itanium 2 Montecito 2C 1.6GHz,Numalink/Infiniband,51.87 TFlop/s,60.96 TFlop/s,"1,290,240",False,False,Linux,False,False,False,False,False
8,"TSUBAME Grid Cluster - Sun Fire x4600 Cluster, Opteron 2.4/2.6 GHz and ClearSpeed Accelerator, Infiniband",NEC/Sun,"11,088",0 GB,Opteron Dual Core 2C 2.4GHz,Infiniband,48.88 TFlop/s,78.7968 TFlop/s,"1,057,536",False,False,Linux,False,False,False,False,False
9,"Jaguar - Cray XT3, 2.6 GHz dual Core",Cray/HPE,"10,424",0 GB,Opteron Dual Core 2C 2.6GHz,XT3 Internal Interconnect,43.48 TFlop/s,54.2048 TFlop/s,False,False,False,UNICOS/Linux,False,False,False,False,False
10,"Jaws - PowerEdge 1955, 3.0 GHz, Infiniband",Dell EMC,"5,200",0 GB,Xeon 5160 2C 3GHz,Infiniband,42.39 TFlop/s,62.4 TFlop/s,False,False,False,RedHat Enterprise 4,False,False,False,False,False
11,"Lonestar - PowerEdge 1955, 2.66 GHz, Infiniband",Dell EMC,"5,200",0 GB,Xeon 5150 2C 2.67GHz,Infiniband,41.46 TFlop/s,55.4736 TFlop/s,False,False,False,Linux,False,False,False,False,False
12,JUBL - eServer Blue Gene Solution,IBM,"16,384",0 GB,PowerPC 440 2C 700MHz,Proprietary,37.33 TFlop/s,45.875 TFlop/s,"663,551",False,False,CNK/SLES 9,False,False,False,179.00 kW,False
13,Earth-Simulator,NEC,"5,120",0 GB,NEC  1GHz,Multi-stage crossbar,35.86 TFlop/s,40.96 TFlop/s,"1,075,200",False,False,Super-UX,False,False,False,"3,200.00 kW","266,240"
14,"Cray XT3, 2.6 GHz dual Core",Cray/HPE,"7,812",0 GB,Opteron Dual Core 2C 2.6GHz,XT3 Internal Interconnect,33.9294 TFlop/s,40.6224 TFlop/s,False,False,False,UNICOS/Linux,False,False,False,False,False
15,"Cray XT4, 2.6 GHz",Cray/HPE,"6,696",0 GB,Opteron Dual Core 2C 2.6GHz,XT3 Internal Interconnect,27.98 TFlop/s,34.819 TFlop/s,False,False,False,UNICOS/Linux,False,False,False,False,False
16,Stella - eServer Blue Gene Solution,IBM,"12,288",0 GB,PowerPC 440 2C 700MHz,Proprietary,27.45 TFlop/s,34.4064 TFlop/s,"516,095",False,False,CNK/SLES 9,False,False,False,134.00 kW,False
17,HLRB-II - Altix 4700 1.6 GHz,HPE,"4,096",0 GB,Itanium 2 Montecito 2C 1.6GHz,NUMAlink,24.36 TFlop/s,26.214 TFlop/s,"1,139,712",False,False,SUSE Linux Enterprise Server 10,False,False,False,False,False
18,Thunder - Intel Itanium2 Tiger4  1.4GHz - Quadrics,California Digital Corporation,"4,096",0 GB,Itanium 2  1.4GHz,Quadrics,19.94 TFlop/s,22.938 TFlop/s,"975,000",False,False,Linux,False,False,False,False,"110,000"
19,"Darwin - PowerEdge 1950, 3.0 GHz, Infinipath",ClusterVision/Dell,"2,340",0 GB,Xeon 5160 2C 3GHz,InfiniPath,18.27 TFlop/s,28.08 TFlop/s,"713,000",False,False,RedHat Enterprise 4,False,False,False,False,False
20,Blue Protein - eServer Blue Gene Solution,IBM,"8,192",0 GB,PowerPC 440 2C 700MHz,Proprietary,18.665 TFlop/s,22.9376 TFlop/s,"442,367",False,False,CNK/SLES 9,False,False,False,89.00 kW,False
21,eServer Blue Gene Solution,IBM,"8,192",0 GB,PowerPC 440 2C 700MHz,Proprietary,18.665 TFlop/s,22.9376 TFlop/s,"442,367",False,False,CNK/SLES 9,False,False,False,89.00 kW,False
22,KEK/BG Sakura - eServer Blue Gene Solution,IBM,"8,192",0 GB,PowerPC 440 2C 700MHz,Proprietary,18.665 TFlop/s,22.9376 TFlop/s,"442,367",False,False,CNK/SLES 9,False,False,False,89.00 kW,False
23,KEK/BG MOMO - eServer Blue Gene Solution,IBM,"8,192",0 GB,PowerPC 440 2C 700MHz,Proprietary,18.665 TFlop/s,22.9376 TFlop/s,"442,367",False,False,CNK/SLES 9,False,False,False,89.00 kW,False
24,eServer Blue Gene Solution,IBM,"8,192",0 GB,PowerPC 440 2C 700MHz,Proprietary,18.665 TFlop/s,22.9376 TFlop/s,"442,367",False,False,CNK/SLES 9,False,False,False,89.00 kW,False
25,"Sapphire - Cray XT3, 2.6 GHz",Cray/HPE,"4,096",0 GB,Opteron  2.6GHz,XT3 Internal Interconnect,16.975 TFlop/s,21.299 TFlop/s,False,False,False,UNICOS,False,False,False,False,False
26,"Lincoln - PowerEdge 1955, 2.66 GHz, Infiniband",Dell EMC,"2,048",0 GB,Xeon 5150 2C 2.67GHz,Infiniband,16.68 TFlop/s,21.3 TFlop/s,"650,000",False,False,Linux,False,False,False,False,False
27,"MACH5 - Apple XServe, 2.0 GHz, Myrinet",Self-made,"3,072",0 GB,PowerPC 970 2C 2GHz,Myrinet,16.18 TFlop/s,24.576 TFlop/s,"750,000",False,False,MacOS X,False,False,False,False,"160,000"
28,Cray X1E (4GB),Cray/HPE,"1,020",0 GB,Cray X1E 2C 1.13GHz,Crossbar,15.706 TFlop/s,18.442 TFlop/s,False,False,False,UNICOS,False,False,False,False,False
29,Humvee - Evolocity II (LS Supersystem),LNXI,"3,368",0 GB,Xeon 50xx (Dempsy) 2C 3.2GHz,Infiniband,15.2 TFlop/s,19.66 TFlop/s,False,False,False,SuSE Linux Enterprise Server 9,False,False,False,False,False
30,"Big Red - BladeCenter JS21 Cluster, PPC 970, 2.5 GHz, Myrinet",IBM,"2,048",0 GB,PowerPC 970 2C 2.5GHz,Myrinet,15.04 TFlop/s,20.48 TFlop/s,False,False,False,Linux,False,False,False,False,False
31,Cray X1E (2GB),Cray/HPE,"1,014",0 GB,Cray X1E 2C 1.13GHz,Crossbar,14.955 TFlop/s,18.333 TFlop/s,False,False,False,UNICOS,False,False,False,False,False
32,Altix 4700 1.6 GHz,HPE,"2,560",0 GB,Itanium 2 Montecito 2C 1.6GHz,NUMAlink,14.593 TFlop/s,16.384 TFlop/s,"483,800",False,False,SUSE Linux Enterprise Server 10,False,False,False,False,False
33,"BladeCenter JS20 Cluster, PPC 970, 2.2 GHz, Myrinet",IBM,"2,408",0 GB,PowerPC 970 2C 2.2GHz,Myrinet,14 TFlop/s,21.1904 TFlop/s,False,False,False,Linux,False,False,False,False,False
34,eServer pSeries p5 575 1.9 GHz,IBM,"3,072",0 GB,POWER5+ 2C 1.9GHz,Federation,20.07 TFlop/s,23.3472 TFlop/s,"700,000",False,False,AIX,False,False,False,501.00 kW,False
35,eServer pSeries p5 575 1.9 GHz,IBM,"2,368",0 GB,POWER5+ 2C 1.9GHz,Federation,15.47 TFlop/s,17.9968 TFlop/s,False,False,False,AIX,False,False,False,386.00 kW,False
36,eServer pSeries p5 575 1.9 GHz,IBM,"2,368",0 GB,POWER5+ 2C 1.9GHz,Federation,15.47 TFlop/s,17.9968 TFlop/s,False,False,False,AIX,False,False,False,386.00 kW,False
37,eServer pSeries p5 575 1.9 GHz,IBM,"2,240",0 GB,POWER5+ 2C 1.9GHz,Federation,14.634 TFlop/s,17.024 TFlop/s,False,False,False,AIX,False,False,False,False,False
38,eServer pSeries p5 575 1.9 GHz,IBM,"2,240",0 GB,POWER5+ 2C 1.9GHz,Federation,14.634 TFlop/s,17.024 TFlop/s,False,False,False,AIX,False,False,False,False,False
